teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities, library_facilities,extracurricular,extracurricular.1,feedback_text,cleaned_feedback,blob_score,vader_score,final_score,sentiment
0,teacher are punctual but they should also give us the some practical knowledge other than theortical,0.0,content of courses are average,1.0,examination pattern is good,-1,"not satisfactory, lab work must include latest technologies",0.0,library facilities are good but number of books are less,1,extracurricular activities are excellent and provides best platform to students.,"teacher are punctual but they should also give us the some practical knowledge other than theortical content of courses are average examination pattern is good not satisfactory, lab work must include latest technologies library facilities are good but number of books are less extracurricular activities are excellent and provides best platform to students.",teacher are punctual but they should also give us the some practical knowledge other than theortical content of courses are average examination pattern is good not satisfactory lab work must include latest technologies library facilities are good but number of books are less extracurricular activities are excellent and provides best platform to students,0.43229166666666663,0.9603,0.6962958333333333,Positive
1,Good ,-1.0,Not good,1.0,Good,1,Good ,-1.0,Not good ,1,Good ,Good  Not good Good Good  Not good  Good ,good  not good good good  not good  good,0.3499999999999999,-0.7981,-0.22405000000000005,Negative
1,Excellent lectures are delivered by teachers and all teachers are very punctual.,1.0,All courses material provide very good knowledge in depth .,1.0,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",1,Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,1.0,Library facilities are excellent in terms of good techniques that are used over there.,1,Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,"Excellent lectures are delivered by teachers and all teachers are very punctual. All courses material provide very good knowledge in depth . Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it. Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth.  Library facilities are excellent in terms of good techniques that are used over there. Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.",excellent lectures are delivered by teachers and all teachers are very punctual all courses material provide very good knowledge in depth  exam pattern is up to the mark and the cgpa depends on the various marks distributions like ca mte etc which is very nice as compare to other institutions paper checking does not depend on length of ques but on the material which is the best part of it lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth  library facilities are excellent in terms of good techniques that are used over there extra curricular activities also help students to divert their mind from their study for some time university plays an important role in this task,0.4896153846153846,0.987,0.7383076923076923,Positive
1,Good,-1.0,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",-1.0,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,1,Good,0.0,"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",-1,Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,"Good Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning. Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house. Good Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude. Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.",good content of course is perfectly in line with the teaching philosophy that is being perpetuated here ie crammingrote learning again the university tests students of their ability to memorize stuff questions should emphasize more on concepts rather than testing brains cramming storage house good its the best thing i have seen in this universityalbeit the behaviour of library staff is unprofessional at times they are whimsically rude complete wastage of time again this opinion is strictly personal and may not coincide with others,0.4625000000000001,0.8807,0.6716000000000001,Positive
1,teachers give us all the information required to improve the performance.,1.0,content of courses improves my knowledge,1.0,examination pattern is good,1,practical work provides detail knowledge of theoretical work,1.0,library has huge collection of books from different authors,1,extracurricular activities increases mental and physical abilities,teachers give us all the information required to improve the performance. content of courses improves my knowledge examination pattern is good practical work provides detail knowledge of theoretical work library has huge collection of books from different authors extracurricular activities increases mental and physical abilities,teachers give us all the information required to improve the performance content of courses improves my knowledge examination pattern is good practical work provides detail knowledge of theoretical work library has huge collection of books from different authors extracurricular activities increases mental and physical abilities,0.16666666666666666,0.8979,0.5322833333333333,Positive
1,Yes,1.0,Yes,1.0,Yes,1,Yes,1.0,Yes,1,Yes,Yes Yes Yes Yes Yes Yes,yes yes yes yes yes yes,0.0,0.9349,0.46745,Positive
1,good and punctual,1.0,Good,1.0,Good,1,Good,1.0,Hardworking,0,No views,good and punctual Good Good Good Hardworking No views,good and punctual good good good hardworking no views,0.7,0.8555,0.7777499999999999,Positive
1,It is good,1.0,This semester university has provide best teachers ,1.0,I like the question pattern,1,Everything is going fine in lab . learning new things. That is good for us,0.0,I am satisfied with the facilities but few books are limited of  database distribution ,0,No idea about the extracurricular activities. ,It is good This semester university has provide best teachers  I like the question pattern Everything is going fine in lab . learning new things. That is good for us I am satisfied with the facilities but few books are limited of  database distribution  No idea about the extracurricular activities. ,it is good this semester university has provide best teachers  i like the question pattern everything is going fine in lab  learning new things that is good for us i am satisfied with the facilities but few books are limited of  database distribution  no idea about the extracurricular activities,0.3977002164502164,0.5267,0.46220010822510815,Positive
1,Good,-1.0,Needs some improvement,1.0,Good,1,Good,-1.0,Its required some libral in rules,1,Good it provides a great platform,Good Needs some improvement Good Good Its required some libral in rules Good it provides a great platform,good needs some improvement good good its required some libral in rules good it provides a great platform,0.72,0.9565,0.8382499999999999,Positive
1,It's good when compare with my Btech lectures and teaching activities.,0.0,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,1.0,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",-1,Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,1.0,Good,1,While coming to extracurriculum activities it's better than any other university which I had come around.,"It's good when compare with my Btech lectures and teaching activities. Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark. This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all.  Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech. Good While coming to extracurriculum activities it's better than any other university which I had come around.",its good when compare with my btech lectures and teaching activities knowledge  and depth of the course  is good but while coming to the material its not upto the mark this university is far better than other university when coming to the exam patternmarks disturbation and while coming to paper checking no biased corrections equal to all  lab and practical are not upto the mark the topic which are practiced are almost already done in btech good while coming to extracurriculum activities its better than any other university which i had come around,0.3277777777777778,0.9491,0.6384388888888889,Positive
1,Good,0.0,"Knowledge,depth of course is good but course material are not upto the mark",1.0,Great,-1,Not upto the mark,1.0,Good,1,Awesome,"Good Knowledge,depth of course is good but course material are not upto the mark Great Not upto the mark Good Awesome",good knowledgedepth of course is good but course material are not upto the mark great not upto the mark good awesome,0.78,0.964,0.872,Positive
1,way of teaching is good,1.0,course content is knowledgeable ,1.0,exam pattern is good and good paper checking.,-1,lab improves practical knowledge,1.0,good library facilities,1,ok,way of teaching is good course content is knowledgeable  exam pattern is good and good paper checking. lab improves practical knowledge good library facilities ok,way of teaching is good course content is knowledgeable  exam pattern is good and good paper checking lab improves practical knowledge good library facilities ok,0.6599999999999999,0.9393,0.79965,Positive
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",-1.0,Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,0.0,Pattern and procedure of the examination is very good. Paper checking needed to be improved.,0,Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,1.0,Library facilities are very good. No issues ,1,This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. ,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine.  Content of the courses is good but some courses need improvement. Course material is not upto the mark.  Pattern and procedure of the examination is very good. Paper checking needed to be improved. Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk. Library facilities are very good. No issues  This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. ",university teaching here is very much dependent upon slidesthough it is a easy way of teaching but still leaving some concepts unclearotherwise interaction with the faculty is goodlecture delivery sometimes is not upto the mark and punctuality is  fine  content of the courses is good but some courses need improvement course material is not upto the mark  pattern and procedure of the examination is very good paper checking needed to be improved sometimes systems at labs are screwed up otherwise everything is  at their respected desk library facilities are very good no issues  this university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels,0.605,0.9837,0.79435,Positive
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Hardworking,1,Good,Good Good Good Good Hardworking Good,good good good good hardworking good,0.7,0.926,0.813,Positive
1,Good ,1.0,Very good,1.0,Excellent ,1,Good,1.0,Good,1,Good,Good  Very good Excellent  Good Good Good,good  very good excellent  good good good,0.785,0.9586,0.8718,Positive
1,As compared to other colleges and university our university is perfect in all the aspects,-1.0,Material of the course is not good enough ,1.0,Good,1,Practical work is fair,1.0,Excellent,1,Great job,As compared to other colleges and university our university is perfect in all the aspects Material of the course is not good enough  Good Practical work is fair Excellent Great job,as compared to other colleges and university our university is perfect in all the aspects material of the course is not good enough  good practical work is fair excellent great job,0.46562499999999996,0.8746,0.6701125,Positive
1,Good,-1.0,sometimes proper course material is not required.,1.0,Good,1,Good,1.0,Good,1,excellent,Good sometimes proper course material is not required. Good Good Good excellent,good sometimes proper course material is not required good good good excellent,0.6333333333333333,0.6896,0.6614666666666666,Positive
1,Lectures helps in clear our concept,1.0,Easily available course material with sufficient knowledge gaining,1.0,Good marks distribution Students can easily check there performance throught the semester,1,Practical and easy learning,1.0,Good,1,Its give various opportunities and exposure,Lectures helps in clear our concept Easily available course material with sufficient knowledge gaining Good marks distribution Students can easily check there performance throught the semester Practical and easy learning Good Its give various opportunities and exposure,lectures helps in clear our concept easily available course material with sufficient knowledge gaining good marks distribution students can easily check there performance throught the semester practical and easy learning good its give various opportunities and exposure,0.3952380952380952,0.9686,0.6819190476190476,Positive
0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",1.0,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",0.0,"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",-1,"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",0.0,Again some of the faculties don't know how to behave otherwise it is good.,0,This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student. The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher. Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there. The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say. Again some of the faculties don't know how to behave otherwise it is good. This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.",talk about punctuality its really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching so lack of knowledge in terms of subject is there and interaction is also kind of boring a teacher should be entertaining as well but they are really not all they want us to be studios and disciplined which is really not the thinking of every student the materials or links provided for study purpose is good clarity in depth of courses but again it differs from teacher to teacher exam pattern and how it is conducted is really seems to be good but its my first year and when i went to scrutiny for the first time it was not as per my expectations teachers have marked the answers as per their choice they must look for the content rather than the length of answers so poor paper checking is there the evaluation is again bad for our ca as one of our faculty is really weird he gives us remarks on the basis of how we present things in front of it he never look for the content of our answer which is really annoying as he expects us to deliver answer in the way he wants us to do but how can a person do that as people do have different mentality and they do explain themselves in different manner so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say again some of the faculties dont know how to behave otherwise it is good this is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted so announcement must be there,0.08333333333333334,-0.2533,-0.08498333333333334,Negative
1,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",1.0,The course notes are very knowledgeable and proper.,1.0,Descent.,1,Good.,1.0,Descent.,1,Good.,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input.  The course notes are very knowledgeable and proper. Descent. Good. Descent. Good.",university is very good at delivering proper lecturesalso the interaction with students is descent sometimes the teachers lack in terms of punctuality but overall university is giving a good input  the course notes are very knowledgeable and proper descent good descent good,0.40125,0.9441,0.672675,Positive
1,Good,1.0,Good,1.0,Excellect,1,Good,1.0,Good,1,Good,Good Good Excellect Good Good Good,good good excellect good good good,0.7,0.926,0.813,Positive
